mortality,study,country,strata,vaccine,period,follow_up_end,follow_up_mid,cases_placebo,N_placebo,,,,,,,
High ,# 57,USA,USA,hib,Period 1,9,4.5,5211,3,,,,,,,
High ,# 43,Gambia,Africa,hib,Period 1,17,8.5,17794,19,,,,,,,
High ,# 33,Chile,Latin Am.,hib,Period 1,20,10,35264,25,,,,,,,
High ,# 56,USA,USA,hib,Period 1,7,3.5,20800,12,,,,,,,
High ,# 55,USA,USA,hib,Period 1,11,5.5,1913,13,,,,,,,
High ,# 55,USA,USA,hib,Period 1,14,7,1913,14,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
