mortality,study,country,strata,vaccine,period,follow_up_end,follow_up_mid,cases_placebo,N_placebo,cases_vaccine,N_vaccine
High,# 57,USA,USA,hib,Period 1,9,4.5,3,5106,0.5,5211
High,# 43,Gambia,Africa,hib,Period 1,17,8.5,19,17919,1,17794
High,# 33,Chile,Latin Am.,hib,Period 1,20,10,25,36741,2,35264
High,# 56,USA,USA,hib,Period 1,7,3.5,12,18862,0.5,20800
High,# 55,USA,USA,hib,Period 1,11,5.5,13,1929,0.5,1913
High,# 55,USA,USA,hib,Period 1,14,7,14,1929,1,1913
High,RV1 Cunliffe 2012-MWI,Malawi,Africa,Rotarix,Period 2,15.58153846,7.790769231,0.5,483,0.5,505
High,RV1 Madhi 2010-ZAFMWI,South Africa,Africa,Rotarix,Period 1,7.661538462,3.830769231,0.5,408,0.5,425
High,RV1 Madhi 2012-ZAF,South Africa,Africa,Rotarix,Period 2,15.58153846,7.790769231,0.5,408,0.5,425
High,RV5 Zaman 2010-BGD,Bangladesh,Asia,Rotateq,Period 1,7.984615385,3.992307692,0.5,565,0.5,563
High,RV5 Zaman 2010-BGD,Bangladesh,Asia,Rotateq,Period 2,14.66958904,7.334794521,0.5,565,0.5,563
High,RV5 Armah 2010-Africa,Ghana,Africa,Rotateq,Period 1,8.030769231,4.015384615,0.5,1081,0.5,1081
High,RV5 Armah 2010-Africa,Ghana,Africa,Rotateq,Period 2,14.51835616,7.259178082,0.5,1081,0.5,1081
High,RV5 Armah 2010-Africa,Kenya,Africa,Rotateq,Period 1,8.053846154,4.026923077,0.5,611,0.5,610
High,RV5 Armah 2010-Africa,Kenya,Africa,Rotateq,Period 2,12.30575342,6.152876712,0.5,611,0.5,610
High,RV5 Armah 2010-Africa,Mali,Africa,Rotateq,Period 1,8.469230769,4.234615385,0.5,921,0.5,921
High,RV5 Armah 2010-Africa,Mali,Africa,Rotateq,Period 2,14.88986301,7.444931507,0.5,921,0.5,921
High,ROTASIL - Insanaka- Niger,Niger,Africa,Rotasil,Period 1,5.630769231,2.815384615,0.5,1728,0.5,1780
High,ROTASIL Kulkarni 2017 India,India,Asia,Rotasil,Period 1,8.298082192,4.149041096,0.5,3502,0.5,3533
High,ROTASIL Kulkarni 2017 India,India,Asia,Rotasil,Period 2,20.02849315,10.01424658,0.5,3502,0.5,3533
High,ROTAVAC Bhandari 2014-India,India,Asia,Rotavac,Period 1,8.238461538,4.119230769,0.5,2187,0.5,4354
High,ROTAVAC Bhandari 2014-India,India,Asia,Rotavac,Period 2,13.43846154,6.719230769,0.5,2187,0.5,4354
High,RV3BB-Bines forthcoming,Indonesia,Asia,RV3BB,Period 1,7.545205479,3.77260274,0.5,504,0.5,511
High,RV3BB-Bines forthcoming,Indonesia,Asia,RV3BB,Period 2,13.54520548,6.77260274,0.5,504,0.5,511
Medium,RV1 Li 2014-CHINA,China,,Rotarix,Period 1,4,2,0.5,1573,0.5,1575
Medium,RV1 Li 2014-CHINA,China,,Rotarix,Period 2,16.54027397,8.270136986,0.5,1573,0.5,1575
Medium,RV1 Salinas 2005-LA,Latin Am. (n=3),,Rotarix,Period 1,7.461538462,3.730769231,0.5,454,0.5,1392
Medium,RV1 Tregnaghi 2011-LAC,Latin Am. (n=6),,Rotarix,Period 1,7.861538462,3.930769231,0.5,2099,0.5,4211
Medium,RV1 Linhares 2008-LAC,Latin Am. (n=10),,Rotarix,Period 1,8.761538462,4.380769231,0.5,7081,0.5,7205
Medium,RV1 Linhares 2008-LAC,Latin Am. (n=10),,Rotarix,Period 2,20.46153846,10.23076923,0.5,7081,0.5,7205
Medium,RV5 Mo unpublished - China,China,,Rotateq,Period 1,9.8,4.9,0.5,1946,0.5,1930
Medium,RV5_REST_Vesikari 2007 IJID,Latin Am. (n=5),,Rotateq,Period 1,19,9.5,0.5,2237,0.5,2252
Medium,RV5 Grant 12,USA (Navajo),,Rotateq,Period 1,8.769230769,4.384615385,0.5,403,0.5,392
Medium,RV5 Zaman 2010-BGD,Viet nam,,Rotateq,Period 1,7.984615385,3.992307692,0.5,442,0.5,446
Medium,RV5 Zaman 2010-BGD,Viet nam,,Rotateq,Period 2,12.30246575,6.151232877,0.5,442,0.5,446
Low,RV1_Europe_Vesikari 2007 Lancet,Europe (n=6),,Rotarix,Period 1,5.261538462,2.630769231,0.5,1302,0.5,2572
Low,RV1_Europe_Vesikari 2007 Lancet,Europe (n=6),,Rotarix,Period 2,17.26153846,8.630769231,0.5,1302,0.5,2572
Low,RV1 Vesikari 2004b-FIN,Finland,,Rotarix,Period 1,5.261538462,2.630769231,0.5,123,0.5,245
Low,RV1 Vesikari 2004b-FIN,Finland,,Rotarix,Period 2,17.26153846,8.630769231,0.5,123,0.5,245
Low,RV1 Kawamura 2011-JPN,Japan,,Rotarix,Period 1,20.62153846,10.31076923,0.5,250,0.5,498
Low,RV1 Phua 2012-ASIA,SE Asia (n=3),,Rotarix,Period 1,7.384615385,3.692307692,0.5,5256,0.5,5263
Low,RV1 Phua 2009-ASIA,SE Asia (n=3),,Rotarix,Period 2,19.46153846,9.730769231,0.5,5256,0.5,5263
