mortality,study,country,strata,vaccine,period,follow_up_end,follow_up_mid,cases_placebo,N_placebo,cases_vaccine,N_vaccine
High ,# 57,USA,USA,hib,Period 1,9,4.5,3,5106,0.5,5211
High ,# 43,Gambia,Africa,hib,Period 1,17,8.5,19,17919,1,17794
High ,# 33,Chile,Latin Am.,hib,Period 1,20,10,25,36741,2,35264
High ,# 56,USA,USA,hib,Period 1,7,3.5,12,18862,0.5,20800
High ,# 55,USA,USA,hib,Period 1,11,5.5,13,1929,0.5,1913
High ,# 55,USA,USA,hib,Period 1,14,7,14,1929,1,1913
High,RV1 Cunliffe 2012-MWI,Malawi,Africa,Rotarix,Period 1,0.0001,0.00005,0,0,0,0
High,RV1 Cunliffe 2012-MWI,Malawi,Africa,Rotarix,Period 2,0.0001,0.00005,0,0,0,0
High,RV1 Madhi 2010-ZAFMWI,South Africa,Africa,Rotarix,Period 1,0.0001,0.00005,0,0,0,0
High,RV1 Madhi 2012-ZAF,South Africa,Africa,Rotarix,Period 2,0.0001,0.00005,0,0,0,0
High,RV5 Zaman 2010-BGD,Bangladesh,Asia,Rotateq,Period 1,0.0001,0.00005,0,0,0,0
High,RV5 Zaman 2010-BGD,Bangladesh,Asia,Rotateq,Period 2,0.0001,0.00005,0,0,0,0
High,RV5 Armah 2010-Africa,Ghana,Africa,Rotateq,Period 1,0.0001,0.00005,0,0,0,0
High,RV5 Armah 2010-Africa,Ghana,Africa,Rotateq,Period 2,0.0001,0.00005,0,0,0,0
High,RV5 Armah 2010-Africa,Kenya,Africa,Rotateq,Period 1,0.0001,0.00005,0,0,0,0
High,RV5 Armah 2010-Africa,Kenya,Africa,Rotateq,Period 2,0.0001,0.00005,0,0,0,0
High,RV5 Armah 2010-Africa,Mali,Africa,Rotateq,Period 1,0.0001,0.00005,0,0,0,0
High,RV5 Armah 2010-Africa,Mali,Africa,Rotateq,Period 2,0.0001,0.00005,0,0,0,0
High,ROTASIL - Insanaka- Niger,Niger,Africa,Rotasil,Period 1,0.0001,0.00005,0,0,0,0
High,ROTASIL Kulkarni 2017 India,India,Asia,Rotasil,Period 1,0.0001,0.00005,0,0,0,0
High,ROTASIL Kulkarni 2017 India,India,Asia,Rotasil,Period 2,0.0001,0.00005,0,0,0,0
High,ROTAVAC Bhandari 2014-India,India,Asia,Rotavac,Period 1,0.0001,0.00005,0,0,0,0
High,ROTAVAC Bhandari 2014-India,India,Asia,Rotavac,Period 2,0.0001,0.00005,0,0,0,0
High,RV3BB-Bines forthcoming,Indonesia,Asia,RV3BB,Period 1,0.0001,0.00005,0,0,0,0
High,RV3BB-Bines forthcoming,Indonesia,Asia,RV3BB,Period 2,0.0001,0.00005,0,0,0,0
Medium,RV1 Li 2014-CHINA,China,,Rotarix,Period 1,0.0001,0.00005,0,0,0,0
Medium,RV1 Li 2014-CHINA,China,,Rotarix,Period 2,0.0001,0.00005,0,0,0,0
Medium,RV1 Salinas 2005-LA,Latin Am. (n=3),,Rotarix,Period 1,0.0001,0.00005,0,0,0,0
Medium,RV1 Tregnaghi 2011-LAC,Latin Am. (n=6),,Rotarix,Period 1,0.0001,0.00005,0,0,0,0
Medium,RV1 Linhares 2008-LAC,Latin Am. (n=10),,Rotarix,Period 1,0.0001,0.00005,0,0,0,0
Medium,RV1 Linhares 2008-LAC,Latin Am. (n=10),,Rotarix,Period 2,0.0001,0.00005,0,0,0,0
Medium,RV5 Mo unpublished - China,China,,Rotateq,Period 1,0.0001,0.00005,0,0,0,0
Medium,RV5_REST_Vesikari 2007 IJID,Latin Am. (n=5),,Rotateq,Period 1,0.0001,0.00005,0,0,0,0
Medium,RV5 Grant 12,USA (Navajo),,Rotateq,Period 1,0.0001,0.00005,0,0,0,0
Medium,RV5 Zaman 2010-BGD,Viet nam,,Rotateq,Period 1,0.0001,0.00005,0,0,0,0
Medium,RV5 Zaman 2010-BGD,Viet nam,,Rotateq,Period 2,0.0001,0.00005,0,0,0,0
Low,RV1_Europe_Vesikari 2007 Lancet,Europe (n=6),,Rotarix,Period 1,0.0001,0.00005,0,0,0,0
Low,RV1_Europe_Vesikari 2007 Lancet,Europe (n=6),,Rotarix,Period 2,0.0001,0.00005,0,0,0,0
Low,RV1 Vesikari 2004b-FIN,Finland,,Rotarix,Period 1,0.0001,0.00005,0,0,0,0
Low,RV1 Vesikari 2004b-FIN,Finland,,Rotarix,Period 2,0.0001,0.00005,0,0,0,0
Low,RV1 Kawamura 2011-JPN,Japan,,Rotarix,Period 1,0.0001,0.00005,0,0,0,0
Low,RV1 Phua 2012-ASIA,SE Asia (n=3),,Rotarix,Period 1,0.0001,0.00005,0,0,0,0
Low,RV1 Phua 2009-ASIA,SE Asia (n=3),,Rotarix,Period 2,0.0001,0.00005,0,0,0,0
Low,RV1 Phua 2012-ASIA,SE Asia (n=3),,Rotarix,Period 3,0.0001,0.00005,0,0,0,0
Low,RV1 Bernstein 1999-USA,USA,,Rotarix,Period 1,0.0001,0.00005,0,0,0,0
Low,RV5_REST_Vesikari 2010 Vaccine Europe,Europe (n=5),,Rotateq,Period 1,0.0001,0.00005,0,0,0,0
Low,RV5_REST_Vesikari 2010 Vaccine Europe,Europe (n=5),,Rotateq,Period 2,0.0001,0.00005,0,0,0,0
Low,RV5_REST_Vesikari 2007 IJID,USA,,Rotateq,Period 1,0.0001,0.00005,0,0,0,0
Low,RV5 Block 2007-Finland/USA,Finland/USA,,Rotateq,Period 1,0.0001,0.00005,0,0,0,0
Low,RV5 Iwata 2013-Japan,Japan,,Rotateq,Period 1,0.0001,0.00005,0,0,0,0
Low,RV5 Clark 2004-USA,USA,,Rotateq,Period 1,0.0001,0.00005,0,0,0,0
